shelter_code,name,address,lng,lat,source,confidence,updated_at
SA100-0005,二二八和平公園,凱達格蘭大道3號,121.515600,25.040300,nfa_point_file,name_match,2026-08-09
SA100-0025,臺北市立圖書館王貫英紀念館,臺北市中正區汀州路二段265號,121.524143,25.022230,taipei_airraid,approx,2026-08-09
SA100-0026,臺北市立圖書館城中分館,臺北市中正區濟南路二段46號3樓,121.530721,25.040628,taipei_airraid,approx,2026-08-09
SA103-0005,玉泉公園,西寜北路28號,121.507700,25.049800,nfa_point_file,name_match,2026-08-09
SA103-0020,建成公園,承德路二段35號旁,121.518215,25.054380,osm_overpass,approx,2026-08-09
SA103-0021,臺北市市場處大龍市場地下停車場,臺北市大同區重慶北路三段347號,121.514076,25.075199,taipei_airraid,approx,2026-08-09
SA103-0023,臺北市立圖書館大同分館,臺北市大同區重慶北路三段318號,121.513490,25.074100,osm_overpass,approx,2026-08-09
SA103-0024,臺北市立圖書館延平分館,臺北市大同區保安街47號,121.512075,25.059249,taipei_airraid,approx,2026-08-09
SA103-0025,臺北市立圖書館建成分館,臺北市大同區民生西路198-20號4樓,121.516603,25.057265,taipei_airraid,approx,2026-08-09
SA103-0026,臺北轉運站,臺北市大同區市民大道1段209號,121.519940,25.048420,osm_overpass,approx,2026-08-09
SA104-0021,臺北市中山區濱江國民小學,樂群二路266巷99號,121.561904,25.077323,taipei_airraid,approx,2026-08-09
SA104-0026,華山公園,市民大道二段,121.527700,25.047100,osm_overpass,approx,2026-08-09
SA104-0027,金泰(公8)公園,"樂群一路旁,基隆河截彎取直範圍內",121.567143,25.077635,osm_overpass,approx,2026-08-09
SA104-0028,明水公園,北安路538巷1弄1號前,121.548327,25.079225,osm_overpass,approx,2026-08-09
SA104-0046,臺北市市場處長春市場地下停車場,臺北市中山區長春路299號1樓,121.539276,25.054434,taipei_airraid,approx,2026-08-09
SA104-0048,臺北市立圖書館大直分館,臺北市中山區大直街25號3-5樓,121.546563,25.081091,taipei_airraid,approx,2026-08-09
SA105-0005,民權公園,民權東路四段、民權國小附近,121.557500,25.061900,nfa_point_file,name_match,2026-08-09
SA105-0036,臺北市立圖書館民生分館,臺北市松山區敦化北路199巷5號4、5樓,121.551530,25.056992,taipei_airraid,approx,2026-08-09
SA105-1020,民有區民活動中心,臺北市松山區民權東路三段140巷15號4、5樓,121.546741,25.060500,taipei_airraid,approx,2026-08-09
SA105-1021,自強區民活動中心,臺北市松山區三民路35巷9號,121.563124,25.055292,taipei_airraid,approx,2026-08-09
SA105-1022,慈祐區民活動中心,臺北市松山區八德路4段568號,121.573787,25.050163,taipei_airraid,approx,2026-08-09
SA105-1023,鵬程區民活動中心,臺北市松山區健康路399號3樓,121.566351,25.054082,taipei_airraid,approx,2026-08-09
SA105-1026,臺北市立圖書館三民分館,臺北市松山區民生東路五段163-1號5、6樓,121.562907,25.059287,taipei_airraid,approx,2026-08-09
SA105-1027,臺北市立圖書館中崙分館,臺北市松山區長安東路二段229號7-10樓,121.545849,25.048380,taipei_airraid,approx,2026-08-09
SA105-1029,臺北市立圖書館松山分館(暫停用),臺北市松山區八德路四段688號5-8樓,121.577251,25.049862,taipei_airraid,approx,2026-08-09
SA105-1030,臺北市立圖書館啟明分館,臺北市松山區敦化北路155巷76號,121.551931,25.054611,taipei_airraid,approx,2026-08-09
SA105-1032,民生公園,民生東路五段36巷4弄與8弄間.,121.475420,25.013680,osm_overpass,approx,2026-08-09
SA106-0005,大安森林公園,台北市大安區新生南路二段1號,121.535400,25.030100,nfa_point_file,name_match,2026-08-09
SA106-0012,臺北市大安區古亭國民小學,羅斯福路三段201號,121.528940,25.020760,taipei_airraid,approx,2026-08-09
SA106-0019,臺北市大安區銘傳國民小學,羅斯褔路四段21號,121.535200,25.014200,nfa_point_file,approx,2026-08-09
SA106-0022,大安站,臺北市大安區信義路3段180號B1,121.542265,25.033200,taipei_airraid,approx,2026-08-09
SA106-0023,臺北市市場處安東市場地下停車場,臺北市大安區瑞安街75號,121.540598,25.027607,taipei_airraid,approx,2026-08-09
SA106-0028,臺北市市場處嘟嘟房大安全聯站停車場,臺北市大安區市民大道4段190號地下一樓,121.531111,25.029616,taipei_airraid,approx,2026-08-09
SA106-0030,臺北市立圖書館道藩分館,臺北市大安區辛亥路三段11號3樓,121.544251,25.020572,taipei_airraid,approx,2026-08-09
SA108-0014,臺北市萬華區萬大國民小學,萬大路346號,121.500316,25.023942,taipei_airraid,approx,2026-08-09
SA108-0020,西門地下街,臺北市中華路一段51-1號B1,121.509188,25.044472,osm_overpass,approx,2026-08-09
SA108-0022,臺北市立圖書館西園分館,臺北市萬華區興寧街6號3-6樓,121.501721,25.032228,taipei_airraid,approx,2026-08-09
SA108-0023,臺北市立圖書館萬華分館,臺北市萬華區東園街19號5-7樓,121.495667,25.027916,taipei_airraid,approx,2026-08-09
SA110-0006,松德公園,松德路180巷興雅國中東側,121.573300,25.035600,nfa_point_file,name_match,2026-08-09
SA110-0022,景勤2號公園,信安街、吳興街220巷交口,121.559468,25.025952,osm_overpass,approx,2026-08-09
SA110-0025,臺北市市場處全聯松山松興店地下二樓停車場,臺北市信義區松隆路36號地下二樓,121.571727,25.048801,taipei_airraid,approx,2026-08-09
SA110-0026,臺北市立圖書館六合分館,臺北市信義區松仁路240巷19號3-5樓,121.568794,25.024450,taipei_airraid,approx,2026-08-09
SA110-0027,臺北市立圖書館永春分館,臺北市信義區松山路294號3-4樓,121.577648,25.043016,taipei_airraid,approx,2026-08-09
SA111-0009,臺北市市場處士東市場地下停車場,臺北市士林區士東路100號,121.528745,25.111899,taipei_airraid,approx,2026-08-09
SA111-0018,臺北市士林區平等國民小學,平菁街101號,121.571860,25.122171,taipei_airraid,approx,2026-08-09
SA111-0035,美崙公園,美崙街152巷,121.519310,25.096770,osm_overpass,approx,2026-08-09
SA111-0036,前港公園,華齡街與前港街交叉口(百齡國小對面),121.519527,25.086598,osm_overpass,approx,2026-08-09
SA111-0037,福林公園,福林路2號(中山北路與福林路交叉口).,121.528330,25.094190,osm_overpass,approx,2026-08-09
SA111-0038,忠誠公園,中山北路六段與忠誠路一段交叉口,121.525571,25.103923,osm_overpass,approx,2026-08-09
SA111-0039,天和公園,天母東路69巷前,121.533379,25.119827,osm_overpass,approx,2026-08-09
SA111-0040,社子公園,永平街20巷11弄3號對面,121.507007,25.091751,osm_overpass,approx,2026-08-09
SA111-0042,臺北市立圖書館天母分館,臺北市士林區中山北路七段154巷6號3、4樓,121.529867,25.122320,taipei_airraid,approx,2026-08-09
SA111-0043,臺北市立圖書館李科永紀念館,臺北市士林區中正路15號,121.530525,25.095856,taipei_airraid,approx,2026-08-09
SA111-0044,臺北市立圖書館葫蘆堵分館,臺北市士林區延平北路五段136巷1號3-9樓,121.510750,25.082284,taipei_airraid,approx,2026-08-09
SA112-0029,北投二公園,中山路5號附近,121.505809,25.137115,taipei_airraid,approx,2026-08-09
SA112-0030,大豐公園(暫停用),公館路13號旁,121.509167,25.126436,taipei_airraid,approx,2026-08-09
SA112-0035,文化區民活動中心(暫停用),臺北市北投區文化三路3號4、5樓,121.497110,25.137383,taipei_airraid,approx,2026-08-09
SA112-0036,臺北市立圖書館北投分館,臺北市北投區光明路251號,121.508004,25.136115,taipei_airraid,approx,2026-08-09
SA112-0037,臺北市立圖書館石牌分館,臺北市北投區明德路208巷5號3-10樓,121.516943,25.106596,taipei_airraid,approx,2026-08-09
SA112-0038,臺北市立圖書館吉利分館,臺北市北投區立農街一段366號5-8樓,121.508394,25.119342,taipei_airraid,approx,2026-08-09
SA112-0039,臺北市立圖書館清江分館,臺北市北投區公館路198號3樓,121.507589,25.126902,taipei_airraid,approx,2026-08-09
SA112-0040,臺北市立圖書館稻香分館,臺北市北投區稻香路81號7-9樓,121.489014,25.141007,taipei_airraid,approx,2026-08-09
SA114-0027,碧湖公園,"內湖路二段175號,國立台灣戲曲學院旁.",121.586589,25.081468,taipei_airraid,approx,2026-08-09
SA114-0033,湖興區民活動中心,臺北市內湖區成功路二段320巷19號3樓,121.589626,25.067657,taipei_airraid,approx,2026-08-09
SA114-0035,臺北市立圖書館西中分館,臺北市內湖區內湖路1段285巷66號1-2樓,121.562303,25.083666,taipei_airraid,approx,2026-08-09
SA114-0037,臺北市立圖書館東湖分館,臺北市內湖區五分街6號,121.612904,25.067458,taipei_airraid,approx,2026-08-09
SA114-0038,樂康區民活動中心,臺北市內湖區康樂街150號6樓之一,121.619241,25.072627,taipei_airraid,approx,2026-08-09
SA115-0016,玉成公園,中坡南路55號,121.586130,25.042810,osm_overpass,approx,2026-08-09
SA115-0019,南港轉運站西站,臺北市南港區忠孝東路7段359號,121.606059,25.052377,osm_overpass,approx,2026-08-09
SA115-0020,臺北市立圖書館南港分館,臺北市南港區南港路一段350號,121.608660,25.054850,osm_overpass,approx,2026-08-09
SA115-0021,臺北市立圖書館舊莊分館,臺北市南港區舊莊街一段91巷11號2-5樓,121.618373,25.042164,taipei_airraid,approx,2026-08-09
SA116-0004,景華公園,景興路與景華街交义口,121.544600,24.995600,nfa_point_file,name_match,2026-08-09
SA116-0012,臺北市文山區永建國民小學,試院路2號 木柵路一段311巷1號,121.550000,24.987600,nfa_point_file,approx,2026-08-09
SA116-0032,興隆公園,興隆路二段154巷與仙岩路交叉口.,121.550907,24.999724,osm_overpass,approx,2026-08-09
SA116-0033,臺北市市場處木柵市場地下停車場,臺北市文山區保儀路13巷3號,121.569971,24.988451,taipei_airraid,approx,2026-08-09
SA116-0035,木新區民活動中心(暫停用),臺北市文山區木新路三段310巷4號2樓、2樓之1,121.556852,24.981607,osm_overpass,approx,2026-08-09
SA116-0037,忠順區民活動中心,臺北市文山區忠順街2段22號2樓,121.562365,24.984513,taipei_airraid,approx,2026-08-09
SA116-0038,景行區民活動中心,臺北市文山區羅斯福路六段393號6~9樓,121.540741,24.992100,taipei_airraid,approx,2026-08-09
SA116-0039,萬芳區民活動中心,臺北市文山區萬美街一段51號3樓,121.566683,25.002206,taipei_airraid,approx,2026-08-09
SA116-0040,萬福區民活動中心,臺北市文山區萬隆街47之12號房屋地下層,121.536976,25.001657,taipei_airraid,approx,2026-08-09
SA116-0041,萬興區民活動中心,臺北市文山區萬壽路27號7樓,121.578159,24.988583,taipei_airraid,approx,2026-08-09
SA116-0042,樟新區民活動中心,臺北市文山區一壽街22號9~10樓,121.556273,24.979711,taipei_airraid,approx,2026-08-09
SA116-0043,樟腳區民活動中心,臺北市文山區恆光街45號7F~8F,121.568575,24.982256,taipei_airraid,approx,2026-08-09
SA116-0044,興隆區民活動中心,臺北市文山區興隆路二段97號4樓,121.548816,25.000278,taipei_airraid,approx,2026-08-09
SA116-0045,博客停車場-政大場,臺北市文山區萬壽路27號地下一至二樓,121.578159,24.988583,taipei_airraid,approx,2026-08-09
SA116-0046,臺北市市場處萬和超市地下停車場,臺北市文山區萬隆街47之12號地下1層,121.536976,25.001657,taipei_airraid,approx,2026-08-09
SA116-0047,臺北市立圖書館力行分館,臺北市文山區一壽街22號5-8樓,121.556273,24.979711,taipei_airraid,approx,2026-08-09
SA116-0048,臺北市立圖書館文山分館,臺北市文山區興隆路二段160號7-9樓,121.547576,25.003647,taipei_airraid,approx,2026-08-09
SA116-0049,臺北市立圖書館木柵分館,臺北市文山區保儀路13巷3號3、4樓,121.569971,24.988451,taipei_airraid,approx,2026-08-09
SA116-0050,臺北市立圖書館景美分館,臺北市文山區羅斯福路五段176巷50號2-4樓,121.539304,25.003207,taipei_airraid,approx,2026-08-09
SA116-0051,臺北市立圖書館景新分館,臺北市文山區景後街151號5-10樓,121.542181,24.990316,taipei_airraid,approx,2026-08-09
SA116-0052,臺北市立圖書館萬興分館,臺北市文山區萬壽路27號4-5樓,121.578159,24.988583,taipei_airraid,approx,2026-08-09
SA116-0053,臺北市市場處興隆市場地下停車場,臺北市文山區興隆路二段97號,121.548816,25.000278,taipei_airraid,approx,2026-08-09
SA116-0054,興業區民活動中心,臺北市文山區興隆路二段160號10樓,121.547576,25.003647,taipei_airraid,approx,2026-08-09
SA116-0055,興豐區民活動中心,臺北市文山區興隆路二段95巷8號7~9樓,121.546899,25.000045,osm_overpass,approx,2026-08-09
