shelter_code,name,address,lng,lat,source,confidence,updated_at
SA100-0002,臺北市立螢橋國民中學,汀州路三段四號,121.526500,25.019000,nfa_point_file,exact,2026-08-09
SA100-0003,臺北市立大學附設實驗國民小學,公園路29號,121.515272,25.036332,taipei_airraid,exact,2026-08-09
SA100-0004,臺北市立弘道國民中學,公園路21號,121.515300,25.037500,nfa_point_file,exact,2026-08-09
SA100-0005,二二八和平公園,凱達格蘭大道3號,121.515600,25.040300,nfa_point_file,name_match,2026-08-09
SA100-0006,臺北市中正運動中心,信義路一段1號,121.535000,25.013700,nfa_point_file,exact,2026-08-09
SA100-0007,臺北市立中正國民中學,愛國東路158號,121.522100,25.032300,nfa_point_file,exact,2026-08-09
SA100-0008,臺北市立第一女子高級中學,重慶南路一段165號,121.513000,25.038600,nfa_point_file,exact,2026-08-09
SA100-0009,臺北市立古亭國民中學,中華路二段465號,121.510600,25.024600,nfa_point_file,exact,2026-08-09
SA100-0010,臺北市立成功高級中學,濟南路一段71號,121.523800,25.042400,nfa_point_file,exact,2026-08-09
SA100-0011,臺北市中正區忠孝國民小學,忠孝東路二段101號,121.531700,25.042800,nfa_point_file,exact,2026-08-09
SA100-0012,臺北市中正區東門國民小學,仁愛路一段2-4號,121.520900,25.038700,nfa_point_file,exact,2026-08-09
SA100-0013,臺北市中正區河堤國民小學,汀州路二段180號,121.522600,25.023200,nfa_point_file,exact,2026-08-09
SA100-0014,臺北市中正區南門國民小學,廣州街6號,121.509100,25.035200,nfa_point_file,exact,2026-08-09
SA100-0015,臺北市立南門國民中學,廣州街6號,121.509100,25.035200,nfa_point_file,exact,2026-08-09
SA100-0016,臺北市立建國高級中學,南海路56號,121.512200,25.031200,nfa_point_file,exact,2026-08-09
SA100-0017,臺北市國語實驗國民小學,南海路58號,121.511000,25.030900,nfa_point_file,exact,2026-08-09
SA100-0018,臺北市中正區螢橋國民小學,詔安街29號,121.514400,25.024900,nfa_point_file,exact,2026-08-09
SA100-0019,中正紀念堂站,臺北市中正區羅斯福路1段8之1號B1,121.518161,25.032596,taipei_airraid,exact,2026-08-09
SA100-0020,古亭站,臺北市中正區羅斯福路2段164之1號B1,121.523303,25.025537,taipei_airraid,exact,2026-08-09
SA100-0021,台大醫院站,臺北市中正區公園路52號B1,121.515817,25.040934,taipei_airraid,exact,2026-08-09
SA100-0022,臺北市市場處光華數位新天地商場地下停車場,臺北市中正區市民大道三段8號,,,none,none,2026-08-09
