city,township,village,name,address,reject_reason
桃園市,新屋區,石牌里,石牌社區活動中心,東興路二段568號,out_of_county_bounds
臺東縣,臺東市,,空軍第737戰術戰鬥機聯隊,營區位置恕不敘明,out_of_county_bounds
桃園市,新屋區,後庄里,後庄社區活動中心,東福路二段515號,out_of_county_bounds
桃園市,新屋區,望間里,望間社區活動中心,4鄰十五間25號,out_of_county_bounds
桃園市,新屋區,社子里,社子社區活動中心,7鄰3之1號,out_of_county_bounds
桃園市,新屋區,頭洲里,頭洲社區活動中心,校前路48號,out_of_county_bounds
桃園市,新屋區,深圳里,深圳社區活動中心,4鄰20之5號,out_of_county_bounds
桃園市,新屋區,東明里,東明社區活動中心,3鄰5號,out_of_county_bounds
桃園市,新屋區,九斗里,九斗社區活動中心,長祥路1098號,out_of_county_bounds
桃園市,新屋區,?榔里,?榔社區活動中心,8鄰9號,out_of_county_bounds
桃園市,新屋區,下田里,下田社區活動中心,4鄰中山西路2段780號,out_of_county_bounds
桃園市,新屋區,永安里,永安社區活動中心,13鄰保生路55號,out_of_county_bounds
桃園市,新屋區,石磊里,石磊社區活動中心,三民路二段276號,out_of_county_bounds
桃園市,新屋區,永興里,永興社區活動中心,永慶一路273號,out_of_county_bounds
臺東縣,金峰鄉,正興村,介達國小 Jieda Elementary School,"5鄰105號No.105,Zhengxing,Jinfeng Township,Taitung County 964,TaiwanR.O.C.",out_of_county_bounds
新竹縣,湖口鄉,信勢村,湖口鄉信勢國小禮堂,成功路360號,out_of_county_bounds
屏東縣,屏東市,永安里,屏東市復興公園,建興南路35號,out_of_county_bounds
屏東縣,屏東市,崇武里,國立屏東高級工業職業學校,建國路25號,out_of_county_bounds
屏東縣,屏東市,豐榮里,屏東市千禧公園,自由、大連、廣東、勝利東路廓內,out_of_county_bounds
屏東縣,屏東市,廣興里,屏東市廣興公園,監理站對面,out_of_county_bounds
臺北市,中正區,黎明里,北市大附小,公園路29號,out_of_county_bounds
高雄市,小港區,濟南里,高雄市小港區青山國民小學,飛機路153號,out_of_county_bounds
臺中市,沙鹿區,埔子里,沙鹿幼兒園埔子分班,正義路218號,out_of_county_bounds
高雄市,大樹區,姑山里,高雄市大樹區姑山國民小學,姑山路1號,out_of_county_bounds
高雄市,彌陀區,漯底里,高雄市彌陀區南安國民小學（備用）,樂安路1號,out_of_county_bounds
